key,en,ca,cs,de,es,fr,id,it,ja,ko,pl,pt,ru,th,tr,vi,zh
ELECTRIC_CRIT_CHANCE,Electric Asteroid Critical Damage Chance,Probabilitat de Dany Crític d'Asteroide Elèctric,Šance na Kritické Poškození Elektrického Asteroidu,Chance auf kritischen elektrischen Asteroidenschaden,Probabilidad de daño crítico de los Asteroides Eléctricos,Chance de Dégâts Critiques d'Astéroïde Électrique,Peluang Damage Kritis Asteroid Listrik,Probabilità di Danno Critico dell'Asteroide Elettrico,電気小惑星クリティカルダメージチャンス,전기 소행성 치명타 확률,Szansa na Krytyczne Obrażenia Elektrowej Asteroidy,Chance de Dano Crítico do Asteroide Elétrico,Шанс критического урона электрического астероида,โอกาสความเสียหายวิกฤตดาวเคราะห์น้อยไฟฟ้า,Elektrikli Asteroit Kritik Hasar Şansı,Cơ Hội Đánh Kích Cỡ Asteroid Điện,电气小行星暴击伤害机会
MOON_MODE,Moon Mode,Mode Lluna,Měsíční režim,Mondmodus,Modo Luna,Mode Lune,Mode Bulan,Modalità Luna,ムーンモード,문 모드,Tryb księżycowy,Modo Lua,Лунный режим,โหมดดวงจันทร์,Ay Modu,Chế độ Mặt Trăng,月相模式
APRIL,April,Abril,Duben,April,Abril,Avril,April,Aprile,4月,4월,Kwiecień,Abril,Апрель,เมษายน,Nisan,Tháng 4,4月
OCTOBER,October,Octubre,Říjen,Oktober,Octubre,Octobre,Oktober,Ottobre,10月,10월,Październik,Outubro,Октябрь,ตุลาคม,Ekim,Tháng 10,10月
ROGUELIKE_MODE,Roguelike Mode,Mode Roguelike,Roguelike režim,Roguelike-Modus,Modo Mazmorras (Roguelike),Mode Roguelike,Mode Roguelike,Modalità Roguelike,ローグライクモード,로그라이크 모드,Tryb roguelike,Modo Roguelike,Режим рогалика,โหมดโร้กไลค์,Roguelike Modu,Chế độ Roguelike,Roguelike模式
SPECIAL_STAR_CHANCET_TO_SPAWN_ELECTRIC,Chance to Spawn Electric Stars,Probabilitat de Generar Estrelles Elèctriques,Šance na Vytvoření Elektrických Hvězd,"Chance, elektrische Sterne zu spawnen",Probabilidad de generar Estrellas Eléctricas,Chance de Faire Apparaître des Étoiles Électriques,Peluang untuk Munculnya Bintang Listrik,Probabilità di Generare Stelle Elettriche,電気星を生成するチャンス,전기 별 생성 확률,Szansa na Pojawienie się Elektrowych Gwiazd,Chance de Gerar Estrelas Elétricas,Шанс спавна электрических звезд,โอกาสในการเกิดดาวไฟฟ้า,Elektrikli Yıldız Doğurma Şansı,Cơ Hội Sinh Ra Sao Điện,生成电气星球的机会
STARS_DESTROYED_THIS_SESSION,Stars Destroyed,Estrelles Destruïdes,Hvězdy Zničeny,Zerstörte Sterne,Estrellas destruidas,Étoiles Détruites,Bintang Dihancurkan,Stelle Distrutte,破壊された星,파괴된 별,Zniszczone Gwiazdy,Estrelas Destruídas,Уничтоженные звезды,ดาวที่ถูกทำลาย,Yok Edilen Yıldızlar,Sao Bị Phá Hủy,摧毁的恒星
<!MissingKey:106:You Beat the Demo!>,You Beat the Demo!,Vas guanyar la demostració!,Porazili jste Demo!,Du hast die Demo geschafft!,¡Te has pasado la Demo!,Vous Avez Battu la Démo !,Anda Menang dalam Demo!,Hai Battuto il Demo!,デモをクリアしました！,데모를 완료했습니다!,Pokonałeś Demo!,Você Venceu a Demonstração!,Вы прошли демо!,คุณเอาชนะเดโมได้แล้ว!,Demo'yu Geçtin!,Bạn Đã Đánh Bại Bản Demo!,你击败了演示版本！
BREAKER_CLICKS_THIS_SESSION,Breaker Clicks,Clics de Breaker,Kliknutí Breakeru,Brecher-Klicks,Pulsos del Rompedor,Clics de Briseur,Klik Breaker,Clic del Frantumatore,ブレイカークリック,브레이커 클릭 수,Kliknięcia Breakera,Cliques do Quebrador,Клики разрушителя,คลิกเบรกเกอร์,Kırıcı Tıklamaları,Nhấp Chuột Đập,破坏者点击
SPECIAL_STAR_ELECTRIC_CRIT_CHANCE,Electric Star Critical Damage Chance,Probabilitat de Dany Crític d'Estrella Elèctrica,Šance na Kritické Poškození Elektrické Hvězdy,Chance auf kritischen elektrischen Sternenschaden,Probabilidad de daño crítico de las Estrellas Eléctricas,Chance de Dégâts Critiques d'Étoile Électrique,Peluang Damage Kritis Bintang Listrik,Probabilità di Danno Critico della Stella Elettrica,電気星クリティカルダメージチャンス,전기 별 치명타 확률,Szansa na Krytyczne Obrażenia Elektrowej Gwiazdy,Chance de Dano Crítico de Estrela Elétrica,Шанс критического урона электрической звезды,โอกาสความเสียหายวิกฤตดาวไฟฟ้า,Elektrikli Yıldız Kritik Hasar Şansı,Cơ Hội Sát Thương Kích Cỡ Sao Điện,电气星球暴击伤害机会
JANUARY,January,Gener,Leden,Januar,Enero,Janvier,Januari,Gennaio,1月,1월,Styczeń,Janeiro,Январь,มกราคม,Ocak,Tháng 1,1月
BETA,Beta,Beta,Beta,Beta,Beta,Bêta,Beta,Beta,ベータ,베타,Beta,Beta,Бета,เบต้า,Beta,Phiên bản Beta,Beta
NEW_GAME_CONGIRM_TITLE,Confirm New Game,Confirma la nova partida,Potvrdit novou hru,Neues Spiel bestätigen,Confirmar partida nueva,Confirmer une nouvelle partie,Konfirmasi Game Baru,Conferma nuova partita,新しいゲームを確認する,새 게임 확인,Potwierdź nową grę,Confirmar novo jogo,Подтвердить новую игру,ยืนยันเกมใหม่,Yeni Oyunu Onayla,Xác nhận trò chơi mới,确认新游戏
SUNDAY,Sunday,Diumenge,Neděle,Sonntag,Domingo,Dimanche,Minggu,Domenica,日曜日,일요일,Niedziela,Domingo,Воскресенье,วันอาทิตย์,Pazar,Chủ nhật,星期日
RUN_TIMER_BASE,Session Timer,Temporitzador de Sessió,Časovač Relace,Sitzungs-Timer,Tiempo de la sesión,Minuteur de Session,Timer Sesi,Timer della Sessione,セッションタイマー,세션 타이머,Czas Sesji,Cronômetro de Sessão,Таймер сессии,เวลาเซสชัน,Oturum Zamanlayıcısı,Bộ Đếm Thời Gian,会话计时器
QUICK_PLAY,Quick Play Mode,Mode de Jugada Ràpida,Rychlý Režim Hraní,Schnellspielmodus,Modo Partida rápida,Mode Jeu Rapide,Mode Main Cepat,Modalità Gioco Veloce,クイックプレイモード,빠른 플레이 모드,Tryb Szybkiej Gry,Modo de Jogo Rápido,Режим Быстрой Игры,โหมดเล่นอย่างรวดเร็ว,Hızlı Oyun Modu,Chế Độ Chơi Nhanh,快速游戏模式
<!MissingKey:115:Just One More..>,Just One More..,Només un més...,Jen Ještě Jednou..,Nur noch eins..,Solo uno más...,Encore un Peu..,Tinggal Satu Lagi..,Solo un'Ultima..,もう一回だけ...,단 한 번 더..,Tylko Jeszcze Jedno..,Só Mais Uma..,Еще одно…,อีกหนึ่งครั้ง..,Sadece Bir Daha..,Chỉ Một Lần Nữa..,再来一次..
MONEY,Money,Dinero,Peníze,Geld,Dinero,Argent,Uang,Denaro,お金,돈,Pieniądze,Dinheiro,Деньги,เงิน,Para,Tiền,金钱
LASER_DAMAGE_THIS_SESSION,Laser Damage,Dany Làser,Poškození Laserem,Laserschaden,Daño del Láser,Dégâts de Laser,Damage Laser,Danno da Laser,レーザーのダメージ,레이저 피해,Obrażenia Lasera,Dano a Laser,Урон от лазера,ความเสียหายเลเซอร์,Lazer Hasarı,Sát Thương Laser,激光伤害
SATURDAY,Saturday,Dissabte,Sobota,Samstag,Sábado,Samedi,Sabtu,Sabato,土曜日,토요일,Sobota,Sábado,Суббота,วันเสาร์,Cumartesi,Thứ bảy,星期六
SPECIAL_PLANET_MOON_SPAWN_CHANCE,Chance to Spawn a Moon (Buffs Breaker Speed and Radius),Probabilitat de Generar una Lluna,Šance na Vytvoření Měsíce,"Chance, einen Mond zu spawnen",Probabilidad de generar una Luna,Chance de Faire Apparaître une Lune,Peluang Munculnya Bulan,Probabilità di Generare una Luna,月を生成するチャンス,달 생성 확률,Szansa na Pojawienie się Księżyca,Chance de Gerar uma Lua,Шанс спавна луны,โอกาสในการเกิดดวงจันทร์,Bir Ay Doğurma Şansı,Cơ Hội Sinh Ra Một Mặt Trăng,生成卫星的机会
CHANCE_TO_RESPAWN_STAR_ON_BREAK,Chance to Spawn New Star when a Star is Destroyed,Probabilitat de Generar Nova Estrella quan una Estrella és Destruïda,"Šance na Vytvoření Nové Hvězdy, když je Hvězda Zničena","Chance, einen neuen Stern zu spawnen, wenn ein Stern zerstört wird",Probabilidad de generar otra Estrella al destruir una Estrella,Chance de Faire Apparaître une Nouvelle Étoile lorsque une Étoile est Détruite,Peluang untuk Munculnya Bintang Baru saat Bintang Dihancurkan,Probabilità di Generare una Nuova Stella quando una Stella è Distrutta,星が破壊されたときに新しい星を生成するチャンス,별이 파괴될 때 새로운 별을 생성할 확률,"Szansa na Pojawienie się Nowej Gwiazdy, gdy Gwiazda Zostaje Zniszczona",Chance de Gerar Nova Estrela quando uma Estrela é Destruída,"Шанс спавна новой звезды, когда звезда разрушена",โอกาสในการเกิดดาวใหม่เมื่อดาวถูกทำลาย,Bir Yıldız Yok Edildiğinde Yeni Bir Yıldız Doğurma Şansı,Cơ Hội Sinh Ra Sao Mới Khi Một Sao Bị Phá Hủy,摧毁恒星时生成新恒星的机会
SPECIAL_ASTEROID_GOLDEN_CRIT_BONUS_MONEY_SCALE,Golden Asteroid Bonus Crit Money Scale,Escala de Dany Crític Extra d'Asteroide Daurat,Zlatý Asteroid Bonusové Kritické Měřítko Peněz,Bonus für kritische Geld-Skala für goldene Asteroiden,Multiplicador de Dinero de los Asteroides Dorados críticos,Échelle d'Argent de Bonus Critique d'Astéroïde Doré,Skala Uang Bonus Kritis Asteroid Emas,Scala Bonus Denaro Critico Asteroide Dorato,金色小惑星ボーナスクリティカルお金スケール,황금 소행성 보너스 치명타 돈 스케일,Skala Bonusowych Krytycznych Pieniędzy Złotej Asteroidy,Escala de Dinheiro Bônus Crítico do Asteroide Dourado,Масштаб бонусных критических денег от золотого астероида,สเกลโบนัสเงินดาวเคราะห์น้อยทองคำวิกฤต,Altın Asteroit Bonus Kritik Para Ölçeği,Tỷ Lệ Tiền Thưởng Kích Cỡ Asteroid Vàng,金色小行星额外暴击金钱比例
NUMBER_OF_ASTEROIDS_INTO_PLANETS,Upgrade Asteroids to Planets,Millorar Asteroides a Planetes,Upgrady Asteroidů na Planety,Upgrades von Asteroiden zu Planeten,Mejora de Asteroides a Planetas,Améliorer les Astéroïdes en Planètes,Upgrade Asteroid ke Planet,Aggiorna Asteroidi a Pianeti,小惑星を惑星にアップグレード,소행성을 행성으로 업그레이드,Ulepszanie Asteroid do Planet,Atualizar Asteroides para Planetas,Обновлять астероиды в планеты,การอัปเกรดดาวเคราะห์เป็นดาว,Asteroitleri Gezegenlere Yükselt,Nâng Cấp Asteroid Thành Hành Tinh,将小行星升级为行星
GAME_OVER_CALL_TO_PLAY_MORE,Go to the main menu to play a new mode or keep playing by starting the Epilogue.,Ves al menú principal per jugar-les o continua jugant en aquest mode començant l'Epilog.,"Přejděte do hlavního menu, abyste si je zahráli, nebo pokračujte v hraní tohoto režimu zahájením Epilogu.","Gehe zum Hauptmenü, um sie zu spielen oder spiele weiter in diesem Modus, indem du das Epilog beginnst.",Ve al menú principal para jugar a otro modo o sigue jugando en el Epílogo.,Allez au menu principal pour y jouer ou continuez à jouer dans ce mode en commençant l'Épilogue.,Pergi ke menu utama untuk memainkannya atau Anda bisa terus bermain mode ini dengan memulai Epilog.,Vai al menu principale per giocarli o continua a giocare a questa modalità iniziando l'Epilogo.,メインメニューに戻ってプレイするか、エピローグを開始してこのモードを続けてください。,메인 메뉴로 가서 플레이하거나 에필로그를 시작하여 이 모드를 계속 플레이하세요.,"Przejdź do menu głównego, aby je zagrać lub kontynuuj grę w tym trybie, zaczynając epilog.",Vá ao menu principal para jogá-los ou continue jogando este modo começando o Epílogo.,"Перейдите в главное меню, чтобы поиграть в них, или продолжайте играть в этот режим, начав эпилог.",ไปที่เมนูหลักเพื่อเล่นหรือคุณสามารถเล่นโหมดนี้ต่อโดยเริ่มต้นตำนาน,Onları oynamak için ana menüye gidin ya da Epilog'u başlatarak bu modda oynamaya devam edin.,Hãy trở lại menu chính để chơi hoặc tiếp tục chơi chế độ này bằng cách bắt đầu Epilogue.,前往主菜单以玩这些模式，或者您可以通过开始后记继续玩该模式。
IDLER_MODE_DESCRIPTION,"In this mode your breaker will automatically target and destroy objects while you unlock upgrades in a special idle focused upgrade tree. Sit back, relax, and watch your black hole grow.","En aquest mode, el teu breaker es dirigirà automàticament i destruirà objectes mentre desbloqueges millores en un arbre de millores centrat en l'oci. Siéntate, relaxa't i mira com creix el teu forat negre.","V tomto režimu váš breaker automaticky zaměří a zničí objekty, zatímco odemykáte upgrady ve speciálním idle zaměřeném stromu upgradů. Uvolněte se, relaxujte a sledujte, jak vaše černá díra roste.","In diesem Modus zielt dein Brecher automatisch auf Objekte und zerstört sie, während du Upgrades in einem speziellen, auf Idle fokussierten Upgrade-Baum freischaltest. Lehn dich zurück, entspann dich und beobachte, wie dein Schwarzes Loch wächst.","En este modo, el Rompedor apuntará y destruirá objetos automáticamente mientras desbloqueas mejoras en un árbol de mejoras especial centrado en la inactividad. Relájate y observa cómo crece tu Agujero negro.","Dans ce mode, votre briseur ciblera et détruira automatiquement les objets pendant que vous débloquez des améliorations dans un arbre d'améliorations spécial axé sur l'inactivité. Détendez-vous, relaxez-vous et regardez votre trou noir grandir.","Dalam mode ini, breaker Anda akan secara otomatis menargetkan dan menghancurkan objek sambil Anda membuka upgrade dalam pohon upgrade yang berfokus pada idle khusus. Duduk santai, beristirahat, dan saksikan lubang hitam Anda tumbuh.","In questa modalità il tuo frantumatore prenderà automaticamente di mira e distruggerà oggetti mentre sblocchi aggiornamenti in un albero di upgrade speciale focalizzato sull'inattività. Siediti, rilassati e guarda il tuo buco nero crescere.",このモードでは、あなたのブレイカーが自動的に対象をターゲットにし、特殊なアイドル焦点のアップグレードツリーでアップグレードをアンロックしながらオブジェクトを破壊します。リラックスして、あなたのブラックホールが成長するのを見守ってください。,"이 모드에서 브레이커는 자동으로 목표를 설정하고 물체를 파괴하며, 특별한 대기 중심 업그레이드 트리에서 업그레이드를 잠금 해제합니다. 앉아서 편안히 쉬며 블랙홀이 성장하는 모습을 지켜보세요.","W tym trybie twój breaker automatycznie namierza i niszczy obiekty, podczas gdy odblokowujesz ulepszenia w specjalnym drzewie ulepszeń skoncentrowanym na bezczynności. Usiądź, zrelaksuj się i obserwuj, jak twoja czarna dziura rośnie.","Neste modo, seu quebrador irá automaticamente mirar e destruir objetos enquanto você desbloqueia upgrades em uma árvore de upgrades focada em idle. Sente-se, relaxe e assista seu buraco negro crescer.","В этом режиме ваш разрушитель автоматически будет нацеливаться и уничтожать объекты, пока вы разблокируете обновления в специальном дереве обновлений, ориентированном на бездействие. Расслабьтесь, отдохните и смотрите, как ваша черная дыра растет.",ในโหมดนี้ เบรกเกอร์ของคุณจะทำการกำหนดเป้าหมายและทำลายวัตถุโดยอัตโนมัติในขณะที่คุณปลดล็อคการอัปเกรดในต้นไม้การอัปเกรดที่เน้นการทำงานเฉยๆ นั่งพักผ่อนและชมหลุมดำของคุณเติบโต,"Bu modda kırıcınız otomatik olarak hedef alacak ve nesneleri yok edecekken siz özel bir boşta durma odaklı yükseltme ağacında yükseltmeleri açabilirsiniz. Rahatlayın, keyfini çıkarın ve kara deliğinizin büyümesini izleyin.","Trong chế độ này, máy đập của bạn sẽ tự động nhắm đến và phá hủy các đối tượng trong khi bạn mở khóa nâng cấp trong một cây nâng cấp tập trung vào idle đặc biệt. Ngồi lại, thư giãn và xem lỗ đen của bạn lớn lên.",在此模式中，您的破坏者将自动锁定并摧毁对象，而您则在专用的闲置升级树中解锁升级。放松一下，观看您的黑洞成长。
PLANETS_DESTROYED_THIS_SESSION,Planets Destroyed,Planetes Destruïts,Planety Zničeny,Zerstörte Planeten,Planetas destruidos,Planètes Détruites,Planet Dihancurkan,Pianeti Distrutti,破壊された惑星,파괴된 행성,Zniszczone Planety,Planetas Destruídos,Уничтоженные планеты,ดาวเคราะห์ที่ถูกทำลาย,Yok Edilen Gezegenler,Hành Tinh Bị Phá Hủy,摧毁的行星
TIMER_RUN_OUT_TEXT,OUT OF TIME!,FORA DE TEMPS!,KONEC ČASU!,Zeit abgelaufen!,¡FUERA DE TIEMPO!,HORS DU TEMPS !,KELUAR DARI WAKTU!,FUORI TEMPO!,時間切れ！,시간 초과!,KONIEC CZASU!,Fora do Tempo!,ВРЕМЯ ИСТЕКЛО!,หมดเวลา!,ZAMAN DOLDU!,HẾT THỜI GIAN!,时间到了！
COMING_SOON,Coming Soon,Properament,Již brzy,Demnächst verfügbar,Próximamente,Bientôt,Segera Hadir,Prossimamente,近日公開,출시 예정,Wkrótce,Em Breve,Скоро,เร็วๆ นี้,Yakında,Sắp ra mắt,即将推出
MAY,May,Maig,Květen,Mai,Mayo,Mai,Mei,Maggio,5月,5월,Maj,Maio,Май,พฤษภาคม,Mayıs,Tháng 5,5月
CLICKER_CRIT_CHANCE,Breaker Critical Damage Chance,Probabilitat de Dany Crític de Breaker,Šance na Kritické Poškození Breakeru,Chance auf kritischen Brecher-Schaden,Probabilidad de daño crítico del Rompedor,Chance de Dégâts Critiques de Briseur,Peluang Damage Kritis Breaker,Probabilità di Danno Critico del Frantumatore,ブレイカークリティカルダメージチャンス,브레이커 치명타 확률,Szansa na Krytyczne Obrażenia Breakera,Chance de Dano Crítico do Quebrador,Шанс критического урона разрушителя,โอกาสความเสียหายวิกฤตเบรกเกอร์,Kırıcı Kritik Hasar Şansı,Cơ Hội Đập Kích Cỡ,破坏者暴击伤害机会
BACK,Back,Enrere,Zpět,Zurück,Atrás,Retour,Kembali,Indietro,戻る,뒤로,Powrót,Voltar,Назад,กลับ,Geri,Quay Lại,返回
MONDAY,Monday,Dilluns,Pondělí,Montag,Lunes,Lundi,Senin,Lunedì,月曜日,월요일,Poniedziałek,Segunda-feira,Понедельник,วันจันทร์,Pazartesi,Thứ hai,星期一
BLACK_HOLE_NAME_8,A Black Hole,Forat Negre,Černá Dírka,Ein Schwarzes Loch,Agujero negro,Un Trou Noir,Sebuah Lubang Hitam,Un Buco Nero,ブラックホール,블랙홀,Czarna Dziura,Um Buraco Negro,Черная дыра,หลุมดำ,Bir Kara Delik,Một Lỗ Đen,一个黑洞
CHOOSE AN UPGRADE,Choose a Random Upgrade,Trieu una actualització aleatòria,Vyberte si náhodné vylepšení,Wähle ein zufälliges Upgrade,Elija una actualización aleatoria,Choisissez une mise à niveau aléatoire,Pilih Peningkatan Secara Acak,Scegli un aggiornamento casuale,ランダムアップグレードを選択,랜덤 업그레이드를 선택하세요,Wybierz losową aktualizację,Escolha uma melhoria aleatória,Выберите случайное обновление,เลือกการอัปเกรดแบบสุ่ม,Rastgele Bir Yükseltme Seçin,Chọn một nâng cấp ngẫu nhiên,选择随机升级
DISCORD,Join the Discord,Uneix-te al Discord,Připojte se k Discordu,Tritt dem Discord bei,Unirse al Discord,Rejoindre le Discord,Bergabunglah dengan Discord,Unisciti al Discord,Discordに参加,디스코드 참여,Dołącz do Discorda,Junte-se ao Discord,Присоединяйтесь к Дискорду,เข้าร่วม Discord,Discord'a Katıl,Gia Nhập Discord,加入 Discord
DRAG TREE,Drag Tree,Arrossegar,Táhnout Strom,Baum ziehen,Mover,Faire Glisser l'Arbre,Tarik Pohon,Trascina l'Albero,ドラッグツリー,드래그 트리,Przeciągnij Drzewo,Drag Tree,Перетаскивание дерева,ลากต้นไม้,Ağaç Çek,Kéo Cây,拖拽树
BLACK_HOLE_NAME_9,Miniature Black Hole,Forat Negre Miniatura,Miniaturní Černá Dírka,Miniatur-Schwarzes Loch,Agujero negro Miniatura,Trou Noir Miniature,Lubang Hitam Miniatur,Miniature Buco Nero,ミニチュアブラックホール,미니어쳐 블랙홀,Miniaturowa Czarna Dziura,Buraco Negro Miniatura,Миниатюрная черная дыра,หลุมดำขนาดจิ๋ว,Miniatür Kara Delik,Lỗ Đen Thu Nhỏ,微型黑洞
QUICK_PLAY_DESCRIPTION,A fun and quick mode that will take around 20 to 30 minutes,Un mode divertit i ràpid que trigarà uns 20 a 30 minuts,"Zábavný a rychlý režim, který zabere přibližně 20 až 30 minut","Ein lustiger und schneller Modus, der etwa 20 bis 30 Minuten dauert",Corto y entretenido. Dura entre 20 y 30 minutos.,Un mode amusant et rapide qui prendra environ 20 à 30 minutes,Sebuah mode menyenangkan dan cepat yang akan memakan waktu sekitar 20 hingga 30 menit,Una modalità divertente e veloce che richiederà circa 20-30 minuti,約20〜30分で終わる楽しい短いモード,약 20~30분 이내에 즐길 수 있는 재미있고 빠른 모드,"Fajny i szybki tryb, który zajmie około 20 do 30 minut",Um modo divertido e rápido que levará cerca de 20 a 30 minutos,"Веселый и быстрый режим, который займет около 20-30 минут",โหมดที่สนุกและรวดเร็วที่จะใช้เวลา 20 ถึง 30 นาที,Yaklaşık 20 - 30 dakika sürecek eğlenceli ve hızlı bir mod,Một chế độ vui vẻ và nhanh chóng sẽ mất khoảng 20 đến 30 phút,一个有趣的快速模式，大约需要 20 到 30 分钟
EFFECT_VOLUME,Effect Volume,Volum de l'efecte,Hlasitost efektu,Effektvolumen,Volumen de los efectos,Volume d'effet,Volume Efek,Volume dell'effetto,エフェクトボリューム,효과 볼륨,Głośność efektu,Volume de efeito,Объем эффекта,ปริมาณเอฟเฟกต์,Etki Hacmi,Thể tích hiệu ứng,效应体积
WEDNESDAY_SHORT,Wed,Dc,St,Mi,Mié,Mer,Rab,Mer,水,수,Śr,Qua,Ср,พ.,Çar,T4,三
SPECIAL_ASTEROID_ELECTRIC_MAX_CHAINS,Electric Asteroid Max Chains,Màxim Xains d'Asteroide Elèctric,Maximální Řetězce Elektrického Asteroidu,Maximale Ketten elektrischer Asteroiden,Límite de saltos del los Asteroides Eléctricos,Chaînes Max d'Astéroïde Électrique,Maksimum Rantai Asteroid Listrik,Catene Massime dell'Asteroide Elettrico,電気小惑星の最大チェーン,전기 소행성 최대 연쇄,Maksymalne Łańcuchy Elektrowej Asteroidy,Máximas Correntes de Asteroide Elétrico,Максимальная цепь электрического астероида,การเชื่อมต่อสูงสุดของดาวเคราะห์น้อยไฟฟ้า,Elektrikli Asteroit Maksimum Zincir Sayısı,Chuỗi Max Asteroid Điện,电气小行星最大连锁
STAR_DENSITY,Star Mass,Massa d'Estrella,Hmotnost Hvězdy,Sternenmasse,Masa estelar,Masse d'Étoile,Massa Bintang,Massa Stellare,星の質量,별 질량,Masa Gwiazdy,Massa Estelar,Масса звезды,มวลดาว,Yıldız Kütlesi,Khối Lượng Sao,恒星质量
BLACK_HOLE_NAME_0,Baby Black Hole,Bebè Forat Negre,Baby Černá Dírka,Baby-Schwarzes Loch,Agujero negro Bebé,Petit Trou Noir,Lubang Hitam Bayi,Baby Buco Nero,ベビーブラックホール,아기 블랙홀,Mała Czarna Dziura,Baby Buraco Negro,Малыш черной дыры,หลุมดำทารก,Bebek Kara Delik,Lỗ Đen Bé,幼黑洞
BLACK_HOLE_NAME_1,Tiny Black Hole,Forat Negre Minúscul,Malá Černá Dírka,Winziges Schwarzes Loch,Agujero negro Diminuto,Minuscule Trou Noir,Lubang Hitam Kecil,Piccolo Buco Nero,小さなブラックホール,작은 블랙홀,Bardzo Mała Czarna Dziura,Tiny Buraco Negro,Крошечная черная дыра,หลุมดำขนาดเล็ก,Cüce Kara Delik,Lỗ Đen Nhỏ,微小黑洞
BLACK_HOLE_NAME_2,Mini Black Hole,Forat Negre Mini,Mini Černá Dírka,Mini-Schwarzes Loch,Agujero negro Mini,Mini Trou Noir,Lubang Hitam Mini,Mini Buco Nero,ミニブラックホール,미니 블랙홀,Mini Czarna Dziura,Mini Buraco Negro,Мини черная дыра,หลุมดำมิชชั่น,Mini Kara Delik,Lỗ Đen Mini,迷你黑洞
CLICK_RATE,Breaker Speed,Velocitat de Breaker,Rychlost Breakeru,Brecher-Geschwindigkeit,Velocidad del Rompedor,Vitesse de Briseur,Kecepatan Breaker,Velocità del Frantumatore,ブレイカースピード,브레이커 속도,Szybkość Breakera,Velocidade do Quebrador,Скорость разрушителя,ความเร็วเบรกเกอร์,Kırıcı Hızı,Tốc Độ Đập,破坏者速度
BLACK_HOLE_NAME_3,Shrimp Black Hole,Forat Negre Gambeta,Krevetková Černá Dírka,Garnelen-Schwarzes Loch,Agujerillo negro,Trou Noir Crevette,Lubang Hitam Udang,Buco Nero Gamberetto,エビブラックホール,새우 블랙홀,Krewetkowa Czarna Dziura,Shrimp Buraco Negro,Креветочная черная дыра,หลุมดำกุ้ง,Karides Kara Delik,Lỗ Đen Tôm,虾黑洞
BLACK_HOLE_NAME_4,Very Small Black Hole,Forat Negre MOLT Petit,Velmi Malá Černá Dírka,Sehr kleines Schwarzes Loch,Agujero negro Pequeñajo,Très Petit Trou Noir,Lubang Hitam Sangat Kecil,Buco Nero Molto Piccolo,非常に小さなブラックホール,아주 작은 블랙홀,Bardzo Mała Czarna Dziura,Buraco Negro Muito Pequeno,Очень маленькая черная дыра,หลุมดำที่เล็กมาก,Çok Küçük Kara Delik,Lỗ Đen Rất Nhỏ,非常小的黑洞
BLACK_HOLE_PARTICLES,Matter Particles,Partícules de matèria,Částice hmoty,Materieteilchen,Partículas de la materia,Particules de matière,Partikel Materi,Particelle di materia,物質粒子,물질 입자,Cząstki materii,Partículas de matéria,Частицы вещества,อนุภาคสสาร,Madde Parçacıkları,Các hạt vật chất,物质粒子
BLACK_HOLE_NAME_5,Small Black Hole,Forat Negre Petit,Malá Černá Dírka,Kleines Schwarzes Loch,Agujero negro Pequeño,Petit Trou Noir,Lubang Hitam Kecil,Buco Nero Piccolo,小さなブラックホール,작은 블랙홀,Mała Czarna Dziura,Buraco Negro Pequeno,Маленькая черная дыра,หลุมดำเล็ก,Küçük Kara Delik,Lỗ Đen Nhỏ,小黑洞
MAIN MENU,Main Menu,Menú Principal,Hlavní Menu,Hauptmenü,Menú principal,Menu Principal,Menu Utama,Menu Principale,メインメニュー,메인 메뉴,Menu Główne,Menu Principal,Главное меню,เมนูหลัก,Ana Menü,Menu Chính,主菜单
BLACK_HOLE_NAME_6,Halfling Black Hole,Forat Negre Mitjà,Půlčík Černá Dírka,Halbling-Schwarzes Loch,Agujero negro Mediano,Trou Noir Halfling,Lubang Hitam Setengah,Buco Nero Mezzo,ハーフリングブラックホール,하플링 블랙홀,Czarna Dziura Halfing,Buraco Negro Halfling,Полурослик черной дыры,หลุมดำฮาร์ฟลิ่ง,Yarıkürekli Kara Delik,Lỗ Đen Nửa Tinh,半身人黑洞
BLACK_HOLE_NAME_7,Dwarf Black Hole,Forat Negre Nàixer,Trpasličí Černá Dírka,Zwerg-Schwarzes Loch,Agujero negro Enano,Trou Noir Nain,Lubang Hitam Kurcaci,Buco Nero Nano,ドワーフブラックホール,드워프 블랙홀,Czarna Dziura Krasnolud,Buraco Negro Anão,Карликовая черная дыра,หลุมดำแคระ,Cüce Kara Delik,Lỗ Đen Lùn,矮人黑洞
FPS LIMIT,FPS Limit,Límit de FPS,FPS Limit,FPS-Limit,Límite de FPS,Limite de FPS,Batas FPS,Limite FPS,FPS制限,FPS 제한,Limit FPS,Limite de FPS,Ограничение FPS,ขีดจำกัด FPS,FPS Sınırı,Giới Hạn FPS,帧率限制
